site_id,name,lat,lon,capex,annual_fixed_cost,annual_unit_capacity
S01,Flagstaff,35.198,-111.651,850000,240000,250000
S02,Prescott,34.556,-112.443,600000,200000,150000
S03,Camp Verde,34.564,-111.855,550000,190000,150000
S04,Payson,34.24,-111.323,450000,160000,100000
S05,Casa Grande,32.879,-111.757,500000,180000,150000
S06,Kingman,35.189,-114.053,500000,180000,150000
S07,Tucson,32.253,-110.912,700000,220000,200000
S08,Surprise,33.63,-112.368,480000,175000,150000
S09,Queen Creek,33.248,-111.634,480000,175000,150000
S10,Anthem,33.867,-112.147,470000,170000,150000
