point_id,name,lat,lon,annual_units,deliveries_per_year
PHX_N000,PHX_N point 0,33.576,-112.00495,15931,52
PHX_N001,PHX_N point 1,33.4849,-112.21022,14552,52
PHX_N002,PHX_N point 2,33.64838,-112.08168,15700,52
PHX_N003,PHX_N point 3,33.76794,-112.00222,10106,52
PHX_N004,PHX_N point 4,33.79272,-112.03325,13589,52
PHX_N005,PHX_N point 5,33.58411,-111.99215,6090,26
PHX_N006,PHX_N point 6,33.66151,-112.14809,13369,52
PHX_N007,PHX_N point 7,33.66455,-112.12283,19472,52
PHX_N008,PHX_N point 8,33.73323,-112.04346,5503,52
PHX_N009,PHX_N point 9,33.89416,-112.12064,4777,52
PHX_N010,PHX_N point 10,33.59862,-112.0184,7864,52
PHX_N011,PHX_N point 11,33.59598,-112.16245,5410,26
PHX_N012,PHX_N point 12,33.75433,-112.02568,14056,52
PHX_N013,PHX_N point 13,33.70322,-112.06833,16980,52
PHX_N014,PHX_N point 14,33.76714,-112.05764,7189,26
PHX_N015,PHX_N point 15,33.70891,-112.01687,5598,52
PHX_N016,PHX_N point 16,33.64803,-112.12704,14692,52
PHX_N017,PHX_N point 17,33.65249,-111.93051,12237,52
PHX_N018,PHX_N point 18,33.77683,-112.24829,14031,52
PHX_N019,PHX_N point 19,33.69628,-112.02138,15769,52
PHX_N020,PHX_N point 20,33.75933,-112.11487,12065,52
PHX_N021,PHX_N point 21,33.7658,-112.09913,9860,52
PHX_N022,PHX_N point 22,33.56667,-112.17195,17361,52
PHX_N023,PHX_N point 23,33.69424,-112.01095,7064,26
PHX_N024,PHX_N point 24,33.69585,-112.01744,12026,52
PHX_N025,PHX_N point 25,33.72568,-112.14619,9314,52
PHX_N026,PHX_N point 26,33.56042,-112.0313,2408,26
PHX_N027,PHX_N point 27,33.68125,-112.03193,4902,26
PHX_N028,PHX_N point 28,33.74654,-112.08985,14533,52
PHX_N029,PHX_N point 29,33.51127,-112.22471,7427,52
PHX_N030,PHX_N point 30,33.58028,-112.04002,4124,52
PHX_N031,PHX_N point 31,33.64218,-111.95008,14594,52
PHX_N032,PHX_N point 32,33.75375,-112.17336,16017,52
PHX_N033,PHX_N point 33,33.6461,-111.99597,6900,26
PHX_N034,PHX_N point 34,33.72344,-112.05623,5642,26
PHX_N035,PHX_N point 35,33.68721,-112.13295,5181,26
PHX_N036,PHX_N point 36,33.68219,-111.91982,9777,52
PHX_N037,PHX_N point 37,33.57765,-112.06207,13697,52
PHX_N038,PHX_N point 38,33.81592,-111.99649,2749,52
PHX_N039,PHX_N point 39,33.56112,-112.14398,4601,52
PHX_N040,PHX_N point 40,33.64102,-112.21767,18652,52
PHX_N041,PHX_N point 41,33.65778,-112.22708,12636,52
PHX_N042,PHX_N point 42,33.71135,-111.99619,10681,52
PHX_N043,PHX_N point 43,33.97139,-112.03856,10759,52
PHX_N044,PHX_N point 44,33.4668,-112.05323,12291,52
PHX_N045,PHX_N point 45,33.63846,-112.14121,7968,26
PHX_N046,PHX_N point 46,33.6957,-112.09586,2389,26
PHX_N047,PHX_N point 47,33.51253,-112.12863,11972,52
PHX_N048,PHX_N point 48,33.70807,-111.90321,7062,52
PHX_N049,PHX_N point 49,33.77827,-112.12993,15835,52
PHX_W000,PHX_W point 0,33.37748,-112.04715,6143,26
PHX_W001,PHX_W point 1,33.53385,-112.35029,16936,52
PHX_W002,PHX_W point 2,33.4885,-112.27566,19152,52
PHX_W003,PHX_W point 3,33.38452,-112.21539,6607,26
PHX_W004,PHX_W point 4,33.32221,-112.24274,2808,26
PHX_W005,PHX_W point 5,33.466,-112.27186,15474,52
PHX_W006,PHX_W point 6,33.5806,-112.23806,11339,52
PHX_W007,PHX_W point 7,33.56063,-112.21712,13909,52
PHX_W008,PHX_W point 8,33.46832,-112.38245,15442,52
PHX_W009,PHX_W point 9,33.61509,-112.08763,6337,26
PHX_W010,PHX_W point 10,33.59614,-112.3707,4759,52
PHX_W011,PHX_W point 11,33.51433,-112.29946,7585,26
PHX_W012,PHX_W point 12,33.43366,-112.22624,11013,52
PHX_W013,PHX_W point 13,33.51439,-112.46502,6133,26
PHX_W014,PHX_W point 14,33.36568,-112.38188,11113,52
PHX_W015,PHX_W point 15,33.41659,-112.16841,5595,26
PHX_W016,PHX_W point 16,33.45306,-112.30842,15301,52
PHX_W017,PHX_W point 17,33.50381,-112.12626,7417,26
PHX_W018,PHX_W point 18,33.38041,-112.28239,7156,26
PHX_W019,PHX_W point 19,33.46766,-112.36844,11993,52
PHX_W020,PHX_W point 20,33.70175,-112.07232,4526,52
PHX_W021,PHX_W point 21,33.42126,-112.40634,18794,52
PHX_W022,PHX_W point 22,33.48156,-112.13941,16125,52
PHX_W023,PHX_W point 23,33.38459,-112.47473,16929,52
PHX_W024,PHX_W point 24,33.34376,-112.31294,11553,52
PHX_W025,PHX_W point 25,33.56239,-112.26943,8735,52
PHX_W026,PHX_W point 26,33.3033,-112.04708,17614,52
PHX_W027,PHX_W point 27,33.34032,-112.07631,6259,26
